Member	Year	Month	Start	Stop		Reason
012 1800    00  0   0       6
012 1801    00  0   0       6
012 1802    00  0   0       6
012 1803    00  0   0       6
012 1804    00  0   0       6
012 1805    00  0   0       6
012 1806    00  0   0       6
012 1807    00  0   0       6
012 1808    00  0   0       6
012 1809    00  0   0       6
012 1810    00  0   0       6
012 1811    00  0   0       6
012 1812    00  0   0       6
012 1813    00  0   0       6
012 1814    00  0   0       6
012 1815    00  0   0       6
012 1816    00  0   0       6
012 1817    00  0   0       6
012 1818    00  0   0       6
012 1819    00  0   0       6
012 1820    00  0   0       6
012 1821    00  0   0       6
012 1822    00  0   0       6
012 1823    00  0   0       6
012 1824    00  0   0       6
012 1825    00  0   0       6
012 1826    00  0   0       6
012 1827    00  0   0       6
012 1828    00  0   0       6
012 1829    00  0   0       6
012 1830    00  0   0       6
012 1831    00  0	0       6
012 1832    00  0   0       6
012 1833    00  0   0       6
012 1834    00  0   0       6
012 1835    00  0   0       6
012 1836    00  0   0       6
012 1837    00  0   0       6
012 1838    00  0   0       6
012 1839    00  0   0       6
012 1840    00  0   0       6
012 1841    00  0   0       6
012 1842    00  0   0       6
012 1843    00  0   0       6
012 1844    00  0   0       6
012 1845    00  0   0       6
012 1846    00  0   0       6
012 1847    00  0   0       6
012 1848    00  0   0       6
012 1849    00  0   0       6
012 1850    00  0   0       6
012 1851    00  0   0       6
012 1852    00  0   0       6
012 1853    00  0   0       6
012 1854    00  0   0       6
012 1855    00  0   0       6
012 1856    00  0   0       6
012 1857    00  0   0       6
012 1858    00  0   0       6
012 1859    00  0   0       6
012 1860    00  0   0       6
012 1861    00  0   0       6
012 1862    00  0   0       6
012 1863    01  0   0       6
012 1863    02  0   0       6
012	1921	04	87	120		207
016	1897	07	64	124		207
016	1898	03	26	124		207
016	1900	06	91	120		207
017	1911	02	13	112		208
018	0000	00	0	0		7
019	1697	07	0	0		8
020	1893	11	53	120		207
021	1653	07	56	73		1
022	1737	12	100	124		208
022     1783    06  	0   	0       	10
024	1890	03	88	124		208
024	1894	11	94	120		207
026	1805	03	14	120		207
029	1897	04	34	120		208
029	1898	05	41	124		207
029	1941	03	116	124		208
030	1604	11	0	0		9
030 1604    12	0	0		9
030 1605    00	0	0		9
030 1606    01	0	0		9
030 1606    02	0	0		9
030 1606    03	0	0		9
030 1606    12	0	0		9
030	1614	12	39	47		1
030	1616	11	47	56		1
030	1894	04	41	120		207
030	1901	02	23	112		207	
